"","sn","rugs_urlnames_full","url","DateAdded"
"206",206,"rladies-columbus","https://www.meetup.com/rladies-columbus/","October, 2019"
"207",207,"rladies-rotterdam","https://www.meetup.com/rladies-rotterdam/","October, 2019"
"208",208,"rladies-tc","https://www.meetup.com/rladies-tc/","October, 2019"
"209",209,"rladies-london","https://www.meetup.com/rladies-london/","October, 2019"
"210",210,"WeR-stats","https://www.meetup.com/WeR-stats/","October, 2019"
"211",211,"rladies-cambridge","https://www.meetup.com/rladies-cambridge/","October, 2019"
"212",212,"rladies-budapest","https://www.meetup.com/rladies-budapest/","October, 2019"
"213",213,"rladies-riverside","https://www.meetup.com/rladies-riverside/","October, 2019"
"214",214,"rladies-miami","https://www.meetup.com/rladies-miami/","October, 2019"
"215",215,"rladies-iowa-city","https://www.meetup.com/rladies-iowa-city/","October, 2019"
"216",216,"rladies-kathmandu","https://www.meetup.com/rladies-kathmandu/","October, 2019"
"217",217,"rladies-irvine","https://www.meetup.com/rladies-irvine/","October, 2019"
"218",218,"R-Minho","https://www.meetup.com/R-Minho/","October, 2019"
"219",219,"rladies-lyon","https://www.meetup.com/rladies-lyon/","October, 2019"
"220",220,"rladies-munich","https://www.meetup.com/rladies-munich/","October, 2019"
"221",221,"rladies-vienna","https://www.meetup.com/rladies-vienna/","October, 2019"
"222",222,"rladies-utrecht","https://www.meetup.com/rladies-utrecht/","October, 2019"
"223",223,"Trojmiejska-Grupa-Entuzjastow-R","https://www.meetup.com/Trojmiejska-Grupa-Entuzjastow-R/","October, 2019"
"224",224,"rladies-highland-park","https://www.meetup.com/rladies-highland-park/","October, 2019"
"225",225,"rladies-des-moines","https://www.meetup.com/rladies-des-moines/","October, 2019"
"226",226,"rladies-houston","https://www.meetup.com/rladies-houston/","October, 2019"
"227",227,"ShenzhenR","https://www.meetup.com/ShenzhenR/","October, 2019"
"228",228,"R-ML-and-AI-in-Sydney","https://www.meetup.com/R-ML-and-AI-in-Sydney/","October, 2019"
"229",229,"rladies-melbourne","https://www.meetup.com/rladies-melbourne/","October, 2019"
"230",230,"RGlasgow","https://www.meetup.com/RGlasgow/","October, 2019"
"231",231,"rladies-montreal","https://www.meetup.com/rladies-montreal/","October, 2019"
"232",232,"rladies-ottawa","https://www.meetup.com/rladies-ottawa/","October, 2019"
"233",233,"rladies-nijmegen","https://www.meetup.com/rladies-nijmegen/","October, 2019"
"234",234,"R-para-utilizadores-Excel-Lisboa","https://www.meetup.com/R-para-utilizadores-Excel-Lisboa/","October, 2019"
"235",235,"rladies-freiburg","https://www.meetup.com/rladies-freiburg/","October, 2019"
"236",236,"AthensR","https://www.meetup.com/AthensR/","October, 2019"
"237",237,"rladies-montenegro","https://www.meetup.com/rladies-montenegro/","October, 2019"
"238",238,"rladies-brussels","https://www.meetup.com/rladies-brussels/","October, 2019"
"239",239,"rladies-leuven","https://www.meetup.com/rladies-leuven/","October, 2019"
"240",240,"rladies-exeter","https://www.meetup.com/rladies-exeter/","October, 2019"
"241",241,"rladies-chennai","https://www.meetup.com/rladies-chennai/","October, 2019"
"242",242,"rladies-orlando","https://www.meetup.com/rladies-orlando/","October, 2019"
"243",243,"rladies-remote","https://www.meetup.com/rladies-remote/","October, 2019"
"244",244,"rladies-oslo","https://www.meetup.com/rladies-oslo/","October, 2019"
"245",245,"rladies-valparaiso","https://www.meetup.com/rladies-valparaiso/","October, 2019"
"246",246,"rladies-tiruchirappalli","https://www.meetup.com/rladies-tiruchirappalli/","October, 2019"
"247",247,"rladies-eastlansing","https://www.meetup.com/rladies-eastlansing/","October, 2019"
"248",248,"rladies-pdx","https://www.meetup.com/rladies-pdx/","October, 2019"
"249",249,"BiocNYC","https://www.meetup.com/BiocNYC/","October, 2019"
"250",250,"rladies-lima","https://www.meetup.com/rladies-lima/","October, 2019"
"251",251,"r-tallinn","https://www.meetup.com/r-tallinn/","October, 2019"
"252",252,"rladies-san-jose","https://www.meetup.com/rladies-san-jose/","October, 2019"
