"","X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
"643",643,"R-Ladies Lisboa","Lisbon","Portugal","Europe",507,"https://www.meetup.com/rladies-lisboa/","2016-10-26",9,0,"public","2018-06-07"
"644",644,"R-Ladies Guayaquil","Guayaquil","Ecuador","Latin America",325,"https://www.meetup.com/rladies-guayaquil/","2018-04-05",3,0,"public","2018-12-11"
"648",648,"R-Ladies Frankfurt","Frankfurt","Germany","Europe",80,"https://www.meetup.com/rladies-frankfurt/","2019-02-27",6,0,"public","2019-09-12"
"649",649,"R-Ladies Amsterdam","Amsterdam","Netherlands","Europe",631,"https://www.meetup.com/rladies-amsterdam/","2018-02-10",13,1,"public","2019-08-06"
"650",650,"R-Ladies Newcastle","Newcastle Upon Tyne","United Kingdom","Europe",169,"https://www.meetup.com/rladies-newcastle/","2019-02-27",5,2,"public","2019-09-03"
"651",651,"R-Ladies Baltimore","Baltimore","USA","US/Canada",342,"https://www.meetup.com/rladies-baltimore/","2018-02-26",8,6,"public","2019-09-18"
"652",652,"R-Ladies Loughborough","Loughborough","United Kingdom","Europe",64,"https://www.meetup.com/rladies-loughborough/","2018-02-10",6,0,"public","2018-10-09"
"654",654,"R-Ladies Manchester","Manchester","United Kingdom","Europe",397,"https://www.meetup.com/rladies-manchester/","2016-11-29",15,1,"public","2019-08-06"
"655",655,"R-Ladies Lancaster","Lancaster","United Kingdom","Europe",93,"https://www.meetup.com/rladies-lancaster/","2018-09-12",4,1,"public","2019-09-04"
"656",656,"R-Ladies San Diego","San Diego","USA","US/Canada",448,"https://www.meetup.com/rladies-san-diego/","2017-06-16",25,0,"public","2019-09-27"
"657",657,"R-Ladies Johannesburg","Johannesburg","South Africa","Africa",418,"https://www.meetup.com/rladies-johannesburg/","2018-02-26",13,1,"public","2019-08-27"
"658",658,"R-Ladies Tampa","Tampa","USA","US/Canada",201,"https://www.meetup.com/rladies-tampa/","2018-03-11",15,2,"public","2019-09-14"
"659",659,"R-Ladies Rabat","Rabat","Morocco","Africa",544,"https://www.meetup.com/rladies-rabat/","2018-03-01",3,0,"public","2018-07-21"
"660",660,"R-Ladies Lausanne","Lausanne","Switzerland","Europe",288,"https://www.meetup.com/rladies-lausanne/","2017-12-02",11,0,"public","2019-07-02"
"661",661,"R-Ladies Curitiba","Curitiba","Brazil","Latin America",178,"https://www.meetup.com/rladies-curitiba/","2018-05-29",1,0,"public","2018-06-16"
"663",663,"R-Ladies Bilbao","Bilbao","Spain","Europe",87,"https://www.meetup.com/rladies-bilbao/","2019-02-27",2,0,"public","2019-09-19"
"664",664,"BernR","Bern","Switzerland","Europe",124,"https://www.meetup.com/Bern-R/","2018-11-08",10,3,"public","2019-09-09"
"666",666,"R-Ladies Ames","Ames","USA","US/Canada",191,"https://www.meetup.com/rladies-ames/","2016-11-25",59,1,"public","2019-05-07"
"667",667,"Ciencia de Datos con R","Buenos Aires","Argentina","Latin America",1176,"https://www.meetup.com/meetup-group-ZtqriXwa/","2017-06-29",7,0,"public","2019-09-20"
"668",668,"R-Ladies Canberra","Canberra","Australia","Australia",168,"https://www.meetup.com/rladies-canberra/","2018-12-10",7,2,"public","2019-09-18"
"669",669,"R-Ladies Taipei","Taipei","Taiwan","Asia",1571,"https://www.meetup.com/rladies-taipei/","2016-10-23",42,1,"public","2019-08-26"
"670",670,"Komunitas R Indonesia","Jakarta","Indonesia","Asia",782,"https://www.meetup.com/r-indonesia/","2019-04-28",8,0,"public","2019-09-11"
"671",671,"R-Ladies Nashville","Nashville","USA","US/Canada",476,"https://www.meetup.com/rladies-nashville/","2016-09-28",17,0,"public","2019-09-16"
"672",672,"R-Ladies Cape Town","Cape Town","South Africa","Africa",527,"https://www.meetup.com/rladies-cape-town/","2017-03-06",20,0,"public","2019-09-17"
"673",673,"Göttingen R User Group","Göttingen","Germany","Europe",33,"https://www.meetup.com/Gottingen-Software-Development-Meetup/","2019-02-05",0,1,"public","1970-01-01"
"674",674,"R en Rosario","Rosario","Argentina","Latin America",182,"https://www.meetup.com/R-en-Rosario/","2018-10-03",6,0,"public","2019-09-20"
"675",675,"R-Ladies El Paso","El Paso","USA","US/Canada",18,"https://www.meetup.com/rladies-el-paso/","2019-04-19",1,1,"public","2019-09-18"
"677",677,"R-Ladies Santa Barbara","Santa Barbara","USA","US/Canada",293,"https://www.meetup.com/rladies-santa-barbara/","2018-01-26",7,0,"public","2019-05-16"
"678",678,"EdinbR: The Edinburgh R Usergroup","Edinburgh","United Kingdom","Europe",301,"https://www.meetup.com/EdinbR/","2018-09-16",10,0,"public","2019-09-25"
"679",679,"R-Ladies Paris","Paris","France","Europe",539,"https://www.meetup.com/rladies-paris/","2016-09-19",15,0,"public","2019-06-14"
"680",680,"R-Ladies Mendoza","Mendoza","Argentina","Latin America",175,"https://www.meetup.com/rladies-mendoza/","2018-02-26",8,0,"public","2019-06-18"
"681",681,"R-Ladies Pasadena","Pasadena","USA","US/Canada",73,"https://www.meetup.com/rladies-pasadena/","2018-04-25",4,0,"public","2019-07-18"
"682",682,"R-Ladies Cincinnati","Cincinnati","USA","US/Canada",70,"https://www.meetup.com/rladies-cincinnati/","2018-05-24",1,0,"public","2018-07-17"
"684",684,"adminR: R in Swiss Official Statistics","Bern","Switzerland","Europe",217,"https://www.meetup.com/adminR/","2018-08-19",3,0,"public","2019-09-19"
"686",686,"R-Ladies Recife","Recife","Brazil","Latin America",126,"https://www.meetup.com/rladies-recife/","2019-09-02",1,0,"public","2019-09-12"
"688",688,"R en Buenos Aires","Buenos Aires","Argentina","Latin America",343,"https://www.meetup.com/renbaires/","2018-10-04",5,0,"public","2019-08-13"
"695",695,"MünsteR (R Users Group)","Münster","Germany","Europe",505,"https://www.meetup.com/Munster-R-Users-Group/","2017-05-16",12,0,"public_limited","2019-09-03"
"699",699,"Akure R user group","Akure","Nigeria","Africa",295,"https://www.meetup.com/Akure-R-user-group/","2018-03-03",14,0,"public","2019-07-01"
"701",701,"Bauchi R User Group (BauchiRUG)","Bauchi","Nigeria","Africa",110,"https://www.meetup.com/Bauchi-R-User-Group-BauchiRUG/","2018-07-04",4,0,"public","2019-09-17"
"703",703,"Düsseldorf R User Group","Düsseldorf","Germany","Europe",47,"https://www.meetup.com/Dusseldorf-R-User-Group/","2019-07-24",0,1,"public","1970-01-01"
"704",704,"Bristol R User Group","Bristol","United Kingdom","Europe",331,"https://www.meetup.com/Bristol-R-User-Group/","2018-10-03",4,0,"public","2019-08-20"
"705",705,"Use R! INMEGEN 2019","México City","Mexico","Latin America",229,"https://www.meetup.com/Use-R-INMEGEN-2019/","2018-10-04",1,0,"public","2019-02-25"
"707",707,"Stellenbosch R Users Group Meetup","Stellenbosch","South Africa","Africa",16,"https://www.meetup.com/Stellenbosch-R-Users-Group-Meetup/","2018-12-20",0,0,"public","1970-01-01"
"708",708,"Bluenose-R - User Group","Halifax","Canada","US/Canada",146,"https://www.meetup.com/Bluenose-R-User-Group/","2018-03-27",7,0,"public","2019-06-20"
"709",709,"Predictive Business Analytics with R - New Delhi","Delhi","India","Asia",1593,"https://www.meetup.com/Predictive-Business-Analytics-with-R-New-Delhi/","2014-08-31",7,0,"public","2016-04-23"
"710",710,"Omaha R Users Group","Omaha","USA","US/Canada",189,"https://www.meetup.com/Omaha-R-Users-Group/","2018-03-05",4,0,"public","2019-04-04"
"712",712,"Hyderabad R Programming Meetup","Hyderabad","India","Asia",291,"https://www.meetup.com/Hyderabad-R-Programming-Meetup/","2014-09-11",0,1,"public","1970-01-01"
"713",713,"MapR Users Meetup","Makati","Philippines","Asia",139,"https://www.meetup.com/MapR-Users-Meetup/","2018-03-18",1,0,"public","2018-05-16"
"715",715,"Predictive Business Analytics using R","Buenos Aires","Argentina","Latin America",120,"https://www.meetup.com/Predictive-Business-Analytics-using-R/","2015-06-21",2,0,"public","2015-07-10"
"720",720,"Salt Lake City R Language Study Group","Salt Lake City","USA","US/Canada",246,"https://www.meetup.com/Salt-Lake-City-R-Language-Study-Group/","2018-04-05",28,1,"public","2019-09-07"
"721",721,"Wroclaw R user Group - WRUG","Wroclaw","Poland","Europe",36,"https://www.meetup.com/Wroclaw-R-user-Group-WRUG/","2013-04-14",1,0,"public","2013-06-20"
"722",722,"R User Group Rhein-Neckar","Heidelberg","Germany","Europe",259,"https://www.meetup.com/R-User-Group-Rhein-Neckar/","2011-11-01",32,0,"public","2019-08-13"
"724",724,"R-Ladies Washington D.C.","Washington","USA","US/Canada",1547,"https://www.meetup.com/rladies-dc/","2016-12-07",40,3,"public","2019-08-13"
"726",726,"Dublin R","Dublin","Ireland","Europe",2199,"https://www.meetup.com/DublinR/","2011-11-04",158,1,"public","2018-06-30"
"727",727,"Bogotá R Users Group","Bogotá","Colombia","Latin America",1416,"https://www.meetup.com/Bogota-R-Users-Group/","2013-09-18",21,1,"public","2019-05-25"
"728",728,"MadR - Madison R Programming UseRs Group","Madison","USA","US/Canada",589,"https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group/","2014-01-10",43,0,"public","2019-09-26"
"729",729,"R Users Group Kenya (RUGK)","Nairobi","Kenya","Africa",79,"https://www.meetup.com/R-Users-Group-Kenya-RUGK/","2014-08-29",0,0,"public","1970-01-01"
"730",730,"R-Ladies Buffalo","Buffalo","USA","US/Canada",28,"https://www.meetup.com/rladies-buffalo/","2017-05-28",2,1,"public","2019-07-19"
